"NAME","LINK TO COUNTRY","LINK TO MISSIONS"
"Armenia","https://eu4.paradoxwikis.com/Armenia","https://eu4.paradoxwikis.com/Armenian_missions"
"Austria","https://eu4.paradoxwikis.com/Austria","https://eu4.paradoxwikis.com/Austrian_missions"
"Bavaria","https://eu4.paradoxwikis.com/Bavaria","https://eu4.paradoxwikis.com/Bavarian_missions"
"Croatia","https://eu4.paradoxwikis.com/Croatia","https://eu4.paradoxwikis.com/Croatian_missions"
"Dai Viet","https://eu4.paradoxwikis.com/Dai_Viet","https://eu4.paradoxwikis.com/Vietnamese_missions"
"Delhi","https://eu4.paradoxwikis.com/Delhi","https://eu4.paradoxwikis.com/Delhian_missions"
"Denmark","https://eu4.paradoxwikis.com/Denmark","https://eu4.paradoxwikis.com/Danish_missions"
"Egypt","https://eu4.paradoxwikis.com/Egypt","https://eu4.paradoxwikis.com/Mamluk_missions"
"England","https://eu4.paradoxwikis.com/England","https://eu4.paradoxwikis.com/English_missions"
"Franconia","https://eu4.paradoxwikis.com/Franconia","https://eu4.paradoxwikis.com/Franconian_missions"
"Georgia","https://eu4.paradoxwikis.com/Georgia","https://eu4.paradoxwikis.com/Georgian_missions"
"Golden Horde","https://eu4.paradoxwikis.com/Golden_Horde","https://eu4.paradoxwikis.com/Tatar_missions"
"Hanover","https://eu4.paradoxwikis.com/Hanover","https://eu4.paradoxwikis.com/Hanoverian_missions"
"Hungary","https://eu4.paradoxwikis.com/Hungary","https://eu4.paradoxwikis.com/Hungarian_missions"
"Inca","https://eu4.paradoxwikis.com/Inca","https://eu4.paradoxwikis.com/Incan_missions"
"Jerusalem","https://eu4.paradoxwikis.com/Jerusalem","https://eu4.paradoxwikis.com/Crusader_missions"
"Kongo","https://eu4.paradoxwikis.com/Kongo","https://eu4.paradoxwikis.com/Kongo_missions"
"Kurland","https://eu4.paradoxwikis.com/Kurland","https://eu4.paradoxwikis.com/Livonian_missions"
"Livonia","https://eu4.paradoxwikis.com/Livonia","https://eu4.paradoxwikis.com/Livonian_missions"
"Lan Xang","https://eu4.paradoxwikis.com/Lan_Xang","https://eu4.paradoxwikis.com/Lan_Xang_missions"
"LÃ¼beck","https://eu4.paradoxwikis.com/L%C3%BCbeck","https://eu4.paradoxwikis.com/L%C3%BCbeckian_missions"
"Mali","https://eu4.paradoxwikis.com/Mali","https://eu4.paradoxwikis.com/Malian_missions"
"Mamluks","https://eu4.paradoxwikis.com/Mamluks","https://eu4.paradoxwikis.com/Mamluk_missions"
"Manchu","https://eu4.paradoxwikis.com/Manchu","https://eu4.paradoxwikis.com/Manchurian_missions"
"Maya","https://eu4.paradoxwikis.com/Maya","https://eu4.paradoxwikis.com/Mayan_missions"
"Morocco","https://eu4.paradoxwikis.com/Morocco","https://eu4.paradoxwikis.com/Moroccan_missions"
"Mossi","https://eu4.paradoxwikis.com/Mossi","https://eu4.paradoxwikis.com/Mossi_missions"
"Netherlands","https://eu4.paradoxwikis.com/Netherlands","https://eu4.paradoxwikis.com/Dutch_missions"
"Poland","https://eu4.paradoxwikis.com/Poland","https://eu4.paradoxwikis.com/Polish_missions"
"Pomerania","https://eu4.paradoxwikis.com/Pomerania","https://eu4.paradoxwikis.com/Pomeranian_missions"
"Prussia","https://eu4.paradoxwikis.com/Prussia","https://eu4.paradoxwikis.com/Prussian_missions"
"Rajputana","https://eu4.paradoxwikis.com/Rajputana","https://eu4.paradoxwikis.com/Mewari_missions"
"Sardinia-Piedmont","https://eu4.paradoxwikis.com/Sardinia-Piedmont","https://eu4.paradoxwikis.com/Savoyard_missions"
"Saxony","https://eu4.paradoxwikis.com/Saxony","https://eu4.paradoxwikis.com/Saxon_missions"
"Siam","https://eu4.paradoxwikis.com/Siam","https://eu4.paradoxwikis.com/Siamese_missions"
"Sokoto","https://eu4.paradoxwikis.com/Sokoto","https://eu4.paradoxwikis.com/Sokototian_missions"
"Swabia","https://eu4.paradoxwikis.com/Swabia","https://eu4.paradoxwikis.com/Swabian_missions"
"Switzerland","https://eu4.paradoxwikis.com/Switzerland","https://eu4.paradoxwikis.com/Swiss_missions"
"Timurids","https://eu4.paradoxwikis.com/Timurids","https://eu4.paradoxwikis.com/Timurid_missions"
"Tunis","https://eu4.paradoxwikis.com/Tunis","https://eu4.paradoxwikis.com/Tunisian_missions"
"Tuscany","https://eu4.paradoxwikis.com/Tuscany","https://eu4.paradoxwikis.com/Tuscan_missions"
"Two Sicilies","https://eu4.paradoxwikis.com/Two_Sicilies","https://eu4.paradoxwikis.com/Neapolitan_missions"
"Westphalia","https://eu4.paradoxwikis.com/Westphalia","https://eu4.paradoxwikis.com/Westphalian_missions"
"Yemen","https://eu4.paradoxwikis.com/Yemen","https://eu4.paradoxwikis.com/Yemeni_missions"
